template,line,type,class,source
"templates/achievements.html",27,"fontawesome","fas fa-heart me-2","<i class=""fas fa-heart me-2""></i>HelpChain Volunteer"
"templates/achievements.html",44,"fontawesome","fas fa-tachometer-alt me-1","<i class=""fas fa-tachometer-alt me-1""></i>Dashboard"
"templates/achievements.html",49,"fontawesome","fas fa-tasks me-1","<i class=""fas fa-tasks me-1""></i>Моите задачи"
"templates/achievements.html",54,"fontawesome","fas fa-search me-1","<i class=""fas fa-search me-1""></i>Налични задачи"
"templates/achievements.html",59,"fontawesome","fas fa-trophy me-1","<i class=""fas fa-trophy me-1""></i>Постижения"
"templates/achievements.html",73,"fontawesome","fas fa-user-circle me-1","<i class=""fas fa-user-circle me-1""></i>{{ current_user.name if"
"templates/achievements.html",82,"fontawesome","fas fa-user me-2","<i class=""fas fa-user me-2""></i>Моят профил"
"templates/achievements.html",90,"fontawesome","fas fa-cog me-2","<i class=""fas fa-cog me-2""></i>Настройки"
"templates/achievements.html",100,"fontawesome","fas fa-sign-out-alt me-2","<i class=""fas fa-sign-out-alt me-2""></i>Изход"
"templates/achievements.html",112,"fontawesome","fas fa-moon","<i class=""fas fa-moon""></i>"
"templates/achievements.html",129,"fontawesome","fas fa-trophy text-warning me-2","<i class=""fas fa-trophy text-warning me-2""></i>Постижения и"
"templates/achievements.html",144,"fontawesome","fas fa-star text-white","<i class=""fas fa-star text-white""></i>"
"templates/achievements.html",151,"fontawesome","fas fa-arrow-up me-1","<i class=""fas fa-arrow-up me-1""></i>Продължавай да помагаш!"
"templates/achievements.html",159,"fontawesome","fas fa-level-up-alt text-white","<i class=""fas fa-level-up-alt text-white""></i>"
"templates/achievements.html",166,"fontawesome","fas fa-target me-1","<i class=""fas fa-target me-1""></i>{{"
"templates/achievements.html",176,"fontawesome","fas fa-trophy text-white","<i class=""fas fa-trophy text-white""></i>"
"templates/achievements.html",183,"fontawesome","fas fa-lock me-1","<i class=""fas fa-lock me-1""></i>{{ total_achievements|default(0) -"
"templates/achievements.html",192,"fontawesome","fas fa-fire text-white","<i class=""fas fa-fire text-white""></i>"
"templates/achievements.html",199,"fontawesome","fas fa-calendar-check me-1","<i class=""fas fa-calendar-check me-1""></i>Поддържай серията!"
"templates/achievements.html",229,"fontawesome","fas fa-medal text-primary me-2","<i class=""fas fa-medal text-primary me-2""></i>Постижения"
"templates/achievements.html",294,"fontawesome","fas fa-check-circle me-1","<i class=""fas fa-check-circle me-1""></i>Отключено!"
"templates/achievements.html",301,"fontawesome","fas fa-trophy fa-3x text-muted mb-3","<i class=""fas fa-trophy fa-3x text-muted mb-3""></i>"
"templates/achievements.html",315,"fontawesome","fas fa-crown text-warning me-2","<i class=""fas fa-crown text-warning me-2""></i>Класация на доброволците"
"templates/achievements.html",325,"fontawesome","fas fa-user-circle fa-2x","<i class=""fas fa-user-circle fa-2x""></i>"
"templates/achievements.html",339,"fontawesome","fas fa-crown text-warning","<i class=""fas fa-crown text-warning""></i>"
"templates/admin.html",40,"fontawesome","fas fa-tools me-2","<i class=""fas fa-tools me-2""></i>HelpChain Admin"
"templates/admin.html",57,"fontawesome","fas fa-home me-1","<i class=""fas fa-home me-1""></i>Начало"
"templates/admin.html",62,"fontawesome","fas fa-tachometer-alt me-1","<i class=""fas fa-tachometer-alt me-1""></i>Dashboard"
"templates/admin.html",73,"fontawesome","fas fa-cogs me-1","<i class=""fas fa-cogs me-1""></i>Управление"
"templates/admin.html",81,"fontawesome","fas fa-users me-2","<i class=""fas fa-users me-2""></i>Доброволци"
"templates/admin.html",89,"fontawesome","fas fa-clipboard-list me-2","<i class=""fas fa-clipboard-list me-2""></i>Заявки"
"templates/admin.html",97,"fontawesome","fas fa-user-shield me-2","<i class=""fas fa-user-shield me-2""></i>Роли и потребители"
"templates/admin.html",104,"fontawesome","fas fa-chart-bar me-1","<i class=""fas fa-chart-bar me-1""></i>Аналитика"
"templates/admin.html",109,"fontawesome","fas fa-history me-1","<i class=""fas fa-history me-1""></i>Логове"
"templates/admin.html",114,"fontawesome","fas fa-download me-1","<i class=""fas fa-download me-1""></i>Експорт"
"templates/admin.html",119,"fontawesome","fas fa-shield-alt me-1","<i class=""fas fa-shield-alt me-1""></i>2FA"
"templates/admin.html",131,"fontawesome","fas fa-moon","<i class=""fas fa-moon""></i>"
"templates/admin.html",136,"fontawesome","fas fa-sign-out-alt me-1","<i class=""fas fa-sign-out-alt me-1""></i>Изход"
"templates/admin.html",151,"fontawesome","fas fa-tools me-3","<i class=""fas fa-tools me-3""></i>Администраторски панел"
"templates/admin.html",158,"fontawesome","fas fa-shield-alt me-1","<i class=""fas fa-shield-alt me-1""></i>Администратор"
"templates/admin.html",161,"fontawesome","fas fa-clock me-1","<i class=""fas fa-clock me-1""></i>{{ moment().format('DD/MM/YYYY"
"templates/admin.html",165,"fontawesome","fas fa-server me-1","<i class=""fas fa-server me-1""></i>Система активна"
"templates/admin.html",176,"custom-class","icon-modern","<div class=""stats-icon-modern hc-bg-primary-gradient"">"
"templates/admin.html",177,"fontawesome","fas fa-users","<i class=""fas fa-users""></i>"
"templates/admin.html",186,"custom-class","icon-modern","<div class=""stats-icon-modern hc-bg-success-gradient"">"
"templates/admin.html",187,"fontawesome","fas fa-clipboard-list","<i class=""fas fa-clipboard-list""></i>"
"templates/admin.html",196,"custom-class","icon-modern","<div class=""stats-icon-modern hc-bg-warning-gradient"">"
"templates/admin.html",197,"fontawesome","fas fa-user-shield","<i class=""fas fa-user-shield""></i>"
"templates/admin.html",206,"custom-class","icon-modern","<div class=""stats-icon-modern hc-bg-info-gradient"">"
"templates/admin.html",207,"fontawesome","fas fa-chart-line","<i class=""fas fa-chart-line""></i>"
"templates/admin.html",274,"fontawesome","fas fa-bolt text-warning me-2","<i class=""fas fa-bolt text-warning me-2""></i>Бързи действия"
"templates/admin.html",281,"custom-class","icon-modern","<div class=""action-icon-modern"">"
"templates/admin.html",282,"fontawesome","fas fa-users","<i class=""fas fa-users""></i>"
"templates/admin.html",292,"custom-class","icon-modern","<div class=""action-icon-modern"">"
